Nombre descriptivo de proceso;Monto;porcentaje_del_total
Servicio de logística para transporte de netbooks en todo el país para servicio técnico.;495.644;0.216767557793903
ALQUILER DE UN EDIFICIO EN LA CALLE CHILE N° 758/760, CABA.;494.91060258000005;0.2164468099030262
Adquisición del coformulado de Glecaprevir 100 mg y Pibrentasvir 40 mg.;489.888;0.21425019843383464
Adquisición de reactivos de pesquisa neonatal;487.54327656000004;0.21322474473361655
Adquisición del coformulado de Sofosbuvir 400 mg y Velpatasvir 100 mg.;482.87568;0.2111833934672269
Servicio de YPF en ruta;480.0;0.20992572842821344
CONVENIO INTERADMINISTRATIVO CON FABRICACIONES MILITARES PARA LA ADQUISICIÓN DE MUNICIONES;477.061562;0.20864061647489857
ADQUISICIÓN DE VESTUARIO - ROPA INTERIOR Y ACCESORIOS PARA LAS FFAA Y EMCO.;477.0;0.2086136926255371
Adquisición de Etravirina 200 mg;470.685;0.20585185726090344
Cont. Servicio de Racionamiento en cocido por el término de doce (12) meses.;463.114839;0.2025410831728954
Adquisición de Rótulos de Seguridad IQ-R;456.0;0.1994294420068028
Servicio de guarda, administración y traslado de cajas de archivo.;453.74145;0.1984416758527579
Concesión de Uso para la explotación como estacionamiento - BIBLIOTECA NACIONAL MARIANO MORENO;448.8;0.1962805560803796
COMBUSTIBLE JET A-1 (A GRANEL Y EN TAMBORES) - SOSTÉN LOGÍSTICO ANTÁRTICO;437.3954;0.19129280824197872
Adquisición libros de texto Educación Secundaria por exclusividad con AZ EDITORA S.A.;432.92024069999997;0.18933561850055208
SERVICIO INTEGRAL DE MANT.PREVENTIVO Y CORRECTIVO PARA SCANNERS CON LA FIRMA NUCTECH COMPANY LTD;429.36;0.18777856407903695
CONTRATACIÓN SERVICIO LIMPIEZA DE ESPEJO DE AGUA EN ARROYOS CRÍTICOS GESTIÓN DEL RIESGO HÍDRICO;428.45871168;0.18738438989757894
Adquisición de Prueba rápida de diagnóstico para la detección cualitativa de antígeno/s específicos;417.0;0.18237297657201043
Convenio Interadministrativo (ANSES - CORASA) - Prestación de Servicios Postales y Telegráficos;403.87411965999996;0.17663243492276862
Servicios de ingeniería para actualización MOC - Segmento de tierra SABIA-Mar;403.1;0.1762938773529434
Contratación del servicio de limpieza integral para edificios del MDP;398.88;0.17444828032384538
Adquisición Libros de Texto de Educación Secundaria por exclusividad con EGGERS BRASS TERESA;398.6709375;0.17435684782884636
CONVENIO ENTRE EL MINISTERIO DE SEGURIDAD Y NACIÓN SEGUROS S.A. -(PFA) Seg. automotor;383.04205091999995;0.16752162824587047
Adquisición de Kits de preservativos peneanos de látex, Geles y stickers con instrucciones de uso;381.312;0.16676499866337277
Servicios postales puerta a puerta;375.77356994;0.1643427924869265
ADQUIRIR CAMIÓN MEDIANO DE 6 TON – 4X2;374.4;0.1637420681740065
Adquisición e instalación de estanterías fijas y móviles para el nuevo edificio del ARCHIVO GENERAL DE LA NACIÓN.;371.677152;0.1625512434869246
SERVICIO DE POLICÍA ADICIONAL PARA SEGURIDAD DE TRENES;368.7084;0.16125287384916895
Evaluacion de proyectos;368.0;0.16094305846163032
ADQUISICIÓN DE VEHÍCULOS PARA EL MAGYP;366.03368;0.16008309771512413
ADQUIRIR MINIBUS CON MOTOR TURBODIESEL, CAPACIDAD 19+1;364.12232038;0.1592471736307142
ADQUISICIÓN GAS OIL NAVAL PARA BUQUES DE LA ARMADA ARGENTINA 2DO SEMESTRE - PACID 2022;361.530155;0.15811350236904148
MANTENIMIENTO CORRECTIVO INTEGRAL DEL EDIFICIO DEL HOTEL N° 8 DE LA UNIDAD TURISTICA CHAPADMALAL;354.76659285000005;0.15515549047089933
Adquisición Kits de preservativos peneanos de látex, geles lubricantes y sticker instructivo de uso;354.2154;0.15491442888643958
Servicio especializado de mantenimiento obligatorio, preventivo y correctivo para el MINCYT;351.138036;0.15356855830448382
CONTRATACIÓN DIRECTA CON UN EFECTOR SOCIAL PARA LA ADQUISICIÓN DE BOLSONES DE FRUTAS;350.0002;0.15307093111462583
SERVICIO DE RACIONAMIENTO;347.98479119999996;0.1521895016137495
Adquisición de vehículos, motocicletas tipo enduro y cuatriciclos para las distintas Áreas Protegida;347.9684;0.15218233299999986
La adquisición de equipamiento informático, para la ampliación del parque instalado.;341.59259692;0.14939390569607522
ADQUISICIÓN GAS OIL ANTÁRTICO –SOSTÉN LOGÍSTICO ANTÁRTICO;334.6364;0.14635164589290625
Adquisición de Asparaginasa Pegilada;329.2236;0.1439843834286641
"Serv. Recep., distrib. y repliegue de ""Aprender 22 Censal Secundario"" y ""MUESTRAL NIVEL PRIMARIO"".";326.0775;0.14260845148239745
SERVICIO INTEGRAL DE LIMPIEZA CON PROVISIÓN DE MATERIALES;325.203312;0.14222612949764077
CONTRATACION SERVICIO INTEGRAL DE LIMPIEZA Y DESINFECCION;319.7904;0.13985881805072864
Adquisición Consolidada - Rubro “GAS OIL NAVAL - Sostén Logístico Antártico;298.9215;0.13073190339657126
Adquisición del coformulado de Sofosbuvir 400 mg y Velpatasvir 100 mg;293.62473;0.12841538610372397
CONVENIO INTERADMINISTRATIVO CON CORREO ARGENTINO - ELECCIONES 2019;290.0;0.12683012759204562
Concesión de Uso para explotación comercial de DOS inmuebles ubicados en USHUAIA,TIERRA DEL FUEGO.;289.32;0.12653273281010566
CONVENIO INTERADMINISTRATIVO ENTRE SSGAYPD Y ARSAT POR SERVICIO PUNTOS WIFI;289.11477183999995;0.12644297724555983
